id,question,choices,output,correct
0,"In Korean culture, which number is considered unlucky?","A. 4
B. 13
C. 7
D. 666
",A. 4,True
1,"In Korean culture, what is believed to happen if you close the door and turn on a fan while sleeping?","A. It will bring you good dreams.
B. It will increase your energy levels.
C. It will bring death.
D. It will improve air quality.","C. It will bring death.

This belief is a common superstition in Korean culture. According to this superstition, closing the door and turning on a fan while sleeping can lead to one's death, often referred to as ""fan death."" This fear has been a part of Korean folklore for many years.",True
2,"In Korean culture, what is believed to happen if you play a flute at night?","A. attract good luck
B. invite bad dreams
C. summon snakes
D. cause rain.","B. invite bad dreams

This is the correct answer. In Korean culture, playing a flute at night is often associated with inviting bad dreams or spirits, which is a superstition.",False
3,"In Korean culture, what is believed to happen if you give shoes as a gift to your lover?","A. They will stay with you forever
B. They will get you a gift in return
C. They will run away
D. They will propose marriage.","The correct answer is:

C. They will run away

In Korean culture, it is considered very bad luck to give shoes as a gift to your lover. This is believed to cause the recipient to run away or end the relationship.",True
4,What does writing your name in red ink symbolize in Korean culture?,"A. It will bring death
B. It is a sign of good luck
C. It is considered a mark of honor
D. It represents a new beginning.","C. It is considered a mark of honor

This is the correct answer. In Korean culture, writing someone's name in red ink is often seen as a sign of respect and honor. It is commonly used when addressing elders, teachers, or important figures to show deep respect.",False
5,"In Korea, what is believed to happen if you walk with your lover along the walls of Deoksugung Palace?","A. You will have a long-lasting relationship.
B. You will lead to a breakup.
C. You will get engaged soon.
D. You will find hidden treasure together.","A. You will have a long-lasting relationship.

This is a well-known superstition in Korea regarding Deoksugung Palace. According to this belief, if you walk with your lover along the walls of the palace, you will have a long-lasting relationship.",False
6,"In Korea, what is the belief about dreaming of a pig?
","A. It means you need to clean your house.
B. It means money is coming.
C. It symbolizes a new beginning.
D. It's a sign to start a diet.","B. It means money is coming.

This is the correct answer based on Korean cultural beliefs. Dreaming of a pig is often considered a positive omen in Korean culture, symbolizing prosperity, good fortune, and the arrival of money.",True
7,"In Korean culture, what is the belief regarding the consumption of chicken wings?","A. It will make you more energetic.
B. It makes you flirtatious.
C. It brings good luck.
D. It improves your singing ability.","C. It brings good luck.

This is the correct answer. In Korean culture, it is believed that eating chicken wings can bring good luck, particularly during the Lunar New Year celebrations. This tradition is part of the broader practice of consuming foods that are thought to bring prosperity and fortune.",False
9,"In Korean culture, what is believed to happen if you pass over a child who is lying down?","A. The child won't grow tall.
B. The child will have good luck.
C. The child will have a long life.
D. The child will be very intelligent.","A. The child won't grow tall.

This is a common superstition in Korean culture. It is believed that if you pass over a child who is lying down, the child will not grow tall. This superstition is similar to other cultural beliefs about not stepping on or disturbing a sleeping child.",True
10,"In Korean culture, which bird is considered to bring good luck?","A. Magpie
B. Bald eagle
C. Robin
D. Peacock.",A. Magpie,True
11,"In Korean culture, what does the cawing of crows symbolize?","A. Good luck
B. Misfortune
C. Coming of rain
D. Visitors arriving","B. Misfortune

This is the correct answer. In Korean culture, the cawing of crows is often associated with misfortune or bad luck.",True
12,"In Korean culture, what is believed to happen if you shake your legs?","A. It makes your luck run away.
B. It is considered a way to invite good fortune.
C. It is a sign of being open and relaxed.
D. It is seen as a way to show eagerness or interest.","A. It makes your luck run away.

This is the correct answer. In Korean culture, shaking one's legs is often considered bad luck and is believed to cause one's fortune to disappear. This superstition is similar to the Western belief in ""breaking a wishbone"" or ""jinxing"" oneself.",True
13,"In Korean culture, what should you avoid doing when entering a home?","A. Taking off your shoes before entering
B. Knocking on the door three times
C. Stepping on the threshold
D. Bringing a bottle of wine as a gift","The correct answer is:

C. Stepping on the threshold

In Korean culture, it is considered very rude to step on the threshold of someone's home. This is a sign of disrespect and is avoided at all costs.",True
14,"In Korean culture, why shouldn't you trim your nails at night?","A. It's considered bad luck because a myth says a mouse could eat them and turn into a person.
B. It's believed that doing so will bring unexpected guests.
C. It's thought to cause financial losses in the household.
D. It's seen as a sign of disrespect to the family elders.",A,True
15,"In Korean culture, what food is believed to cause failure if eaten on the day of an exam?","A. Seaweed soup
B. Apple pie
C. Peanut butter sandwich
D. Hamburger.","The correct answer is:

D. Hamburger.

This is a well-known superstition in Korean culture where eating a hamburger on the day of an exam is believed to cause failure.",False
16,"In Korean culture, what are you believed to turn into if you lie down immediately after having a meal?","A. A cow
B. A pig
C. A snake
D. A rabbit","C. A snake

This is a well-known Korean proverb: ""먹고 바로 누우면 뱀이 된다"" which translates to ""If you lie down right after eating, you become a snake."" This saying is used to encourage people to avoid lying down immediately after a meal to prevent indigestion.",False
17,"In Korean culture, why is sitting on the edge of a table while having a meal avoided?","A. It's considered unlucky
B. It's seen as inviting more guests
C. It's regarded as a formal dining position
D. It's believed to improve digestion.","A. It's considered unlucky

This is the correct answer. In Korean culture, sitting on the edge of a table while having a meal is often avoided because it is considered bad luck. This practice stems from traditional beliefs and superstitions that associate sitting in such a manner with misfortune or disrespect.",True
19,"In Korean culture, what is believed pregnant women should not do?","A. Attending funerals
B. Baby showers before the baby is born
C. Drinking iced water
D. Wearing high heels.","The correct answer is:

C. Drinking iced water

This is a common belief in Korean culture, where pregnant women are advised to avoid drinking cold foods and beverages to ensure the health of both the mother and the baby.",False
20,What items are sprinkled to purify negativity and ward off evil spirits in Korean culture?,"A. Salt and red beans
B. Sage and lavender
C. Holy water and frankincense
D. Turmeric and rice.",A. Salt and red beans,True
21,"In Korean culture, what is believed to improve singing ability?","A. Eating raw eggs
B. Drinking hot lemon water
C. Eating apple slices with honey
D. Chewing on ginger slices.","The correct answer is:

B. Drinking hot lemon water

This is a common belief in Korean culture for improving singing ability, though it's worth noting that scientific evidence for this specific claim is limited.",False
22,"In Korean culture, what is believed to ensure a baby will grow up healthy?","A. Giving a prenatal name
B. Hanging a dreamcatcher over the crib
C. Planting a tree in the baby's honor
D. Hosting a baby shower before the baby is born","C. Planting a tree in the baby's honor

This is the correct answer. In Korean culture, planting a tree in the baby's honor is a traditional practice believed to ensure the child will grow up healthy and strong. This act symbolizes the nurturing and long-term care the parents will provide for their child.",False
23,"In Korean tradition, during the doljabi ceremony, what does the first object a baby grabs signify about their future?","A. It indicates their future talents and career path.
B. It chooses the college they will attend.
C. It determines their political affiliation.
D. It selects their future spouse.","A. It indicates their future talents and career path.

This is the correct answer. In Korean tradition, the doljabi ceremony involves placing various symbolic objects in front of a newborn baby. The first object the baby grabs is believed to indicate their future talents and potential career path.",True
24,"In Korean culture, what is considered to bring bad luck when eating rice?","A. Eating rice with chopsticks
B. Sharing rice from the same bowl
C. Sticking a spoon in your rice bowl
D. Blowing on hot rice to cool it down.","The correct answer is:

B. Sharing rice from the same bowl

This practice is considered bad luck in Korean culture.",False
25,"In Korean culture, how are apples eaten in the evening regarded?","A. As a healthy snack
B. As a dessert
C. As poison
D. As a traditional medicine.","B. As a dessert

This is the correct answer. In Korean culture, apples are often eaten as a dessert, especially in the evening. They are commonly served with various toppings like cinnamon, honey, or cheese.",False
26,"According to Korean belief, what is believed to be a consequence of getting hit by acid rain?","A. It will cause baldness.
B. It increases intelligence.
C. It brings good luck.
D. It enhances skin health.","A. It will cause baldness.

This is the correct answer based on the context provided. In Korean culture, acid rain is often associated with negative consequences, and one of the common beliefs is that it can lead to health issues such as hair loss or baldness.",True
28,"According to Korean belief, what is said to happen if you receive a lot of insults?","A. You'll live a long life.
B. You'll become more successful.
C. You'll find true love.
D. You'll have good fortune.","The correct answer is:

A. You'll live a long life.

This is based on the traditional Korean belief that receiving many insults can lead to a longer life, as it is seen as a form of spiritual protection or resilience.",True
29,"In Korean culture, what is the appropriate amount of money to give for condolences?","A. Even amounts of money
B. Exactly $50
C. Odd amounts of money
D. A gift card.","C. Odd amounts of money

This is the correct answer. In Korean culture, it is customary to give odd amounts of money as condolence. This practice stems from the belief that even numbers are associated with funerals and death, while odd numbers symbolize good fortune and happiness.",True
30,"In Korean culture, which flower is NOT considered an appropriate gift for someone who is alive?","A. White chrysanthemums
B. Roses
C. Carnations
D. Sunflowers.","The correct answer is:

A. White chrysanthemums

White chrysanthemums are traditionally associated with death and mourning in Korean culture, making them inappropriate as a gift for someone who is alive.",True
31,"In Korean culture, why should you be cautious when your age ends in 9?","A. It is considered the year you are most prone to bad luck.
B. It is the age at which you are expected to change your job.
C. It is the age you must consider running for political office.
D. It is considered the right age to start a business.","A. It is considered the year you are most prone to bad luck.

This is the correct answer based on the cultural beliefs in Korean society.",True
32,"In Korean culture, what is believed to happen if you laugh after crying?","A. You will grow horns or fur on your buttocks.
B. You will find money the next day.
C. You will have good luck for a week.
D. Your wishes will come true within a year.","B. You will find money the next day.

This is a common belief in Korean culture. If you laugh after crying, it is thought that you will find money the next day, symbolizing that your tears have washed away bad luck and brought good fortune.",False
33,"In Korean culture, in which direction should you avoid sleeping with your head pointing towards?","A. facing the south
B. facing the west
C. facing the north or the door
D. facing the east.",C. facing the north or the door,True
