,ID,culture,kor_contents,eng_contents,eng_question,kor_question,eng_choices,kor_choices,label
0,0,Korean,숫자 4는 불길하다,The number 4 is considered unlucky.,"In Korean culture, which number is considered unlucky?",한국 문화에서 불길하다고 여겨지는 숫자는 무엇인가요?,"A. 4
B. 13
C. 7
D. 666
","A. 4
B. 13
C. 7
D. 666",A
1,1,Korean,선풍기를 틀고 자면 죽는다,Turning on a fan while sleeping will bring death.,"In Korean culture, what is believed to happen if you close the door and turn on a fan while sleeping?",한국 문화에서는 잠을 잘 때 문을 닫고 선풍기를 켜면 어떤 일이 일어난다고 믿나요?,"A. It will bring you good dreams.
B. It will increase your energy levels.
C. It will bring death.
D. It will improve air quality.","A. 좋은 꿈을 꾸게 된다
B. 에너지 수준을 높인다
C. 죽음을 불러온다
D. 공기 질이 개선된다",C
2,2,Korean,밤에 휘파람/피리를 불면 뱀/귀신이 나온다.,Playing a flute at night will summon snakes.,"In Korean culture, what is believed to happen if you play a flute at night?",한국 문화에서는 밤에 피리를 불면 어떤 일이 일어난다고 믿나요?,"A. attract good luck
B. invite bad dreams
C. summon snakes
D. cause rain.","A. 행운을 끌어들인다
B. 악몽을 불러온다
C. 뱀을 불러들인다
D. 비를 내리게 한다",C
3,3,Korean,연인에게 신발을 선물하면 도망간다,Giving shoes as a gift to your lover will make them run away.,"In Korean culture, what is believed to happen if you give shoes as a gift to your lover?",한국 문화에서는 연인에게 신발을 선물하면 어떤 일이 일어난다고 믿나요?,"A. They will stay with you forever
B. They will get you a gift in return
C. They will run away
D. They will propose marriage.","A. 연인과 영원히 함께할 것이다
B. 연인이 답례로 선물을 줄 것이다
C. 연인이 떠나버릴 것이다
D. 연인이 청혼할 것이다",C
4,4,Korean,빨간색 펜으로 이름을 쓰면 죽는다,Writing your name in red ink will bring death.,What does writing your name in red ink symbolize in Korean culture?,이름을 빨간 잉크로 쓰는 것은 한국 문화에서 무엇을 상징하나요?,"A. It will bring death
B. It is a sign of good luck
C. It is considered a mark of honor
D. It represents a new beginning.","A. 죽음을 불러올 것이다
B. 행운의 상징이다
C. 명예의 표시로 여겨진다
D. 새로운 시작을 의미한다",A
5,5,Korean,연인과 덕수궁 돌담길을 걸으면 헤어진다,Walking with your lover along the walls of Deoksugung Palace will lead to a breakup.,"In Korea, what is believed to happen if you walk with your lover along the walls of Deoksugung Palace?",한국에서는 연인과 덕수궁 돌담길을 함께 걸으면 어떤 일이 일어난다고 믿나요?,"A. You will have a long-lasting relationship.
B. You will lead to a breakup.
C. You will get engaged soon.
D. You will find hidden treasure together.","A. 연인과 오래가는 관계를 유지하게 될 것이다.
B. 연인과 이별하게 될 것이다.
C. 연인과 곧 약혼하게 될 것이다.
D. 연인과 함께 숨겨진 보물을 찾게 될 것이다.",B
6,6,Korean,꿈에 돼지가 나오면 돈이 생긴다,Dreaming of a pig means money is coming.,"In Korea, what is the belief about dreaming of a pig?
",한국에서는 돼지 꿈을 꾸는 것에 대해 어떤 믿음이 있나요?,"A. It means you need to clean your house.
B. It means money is coming.
C. It symbolizes a new beginning.
D. It's a sign to start a diet.","A. 집을 청소해야 한다는 뜻이다.
B. 돈이 들어올 것이라는 뜻이다.
C. 새로운 시작을 상징한다.
D. 다이어트를 시작하라는 신호이다.",B
7,7,Korean,닭 날개를 먹으면 바람난다,Eating chicken wings will make you flirtatious.,"In Korean culture, what is the belief regarding the consumption of chicken wings?",한국 문화에서는 닭날개를 먹으면 어떤 일이 일어난다고 믿나요?,"A. It will make you more energetic.
B. It makes you flirtatious.
C. It brings good luck.
D. It improves your singing ability.","A. 에너지가 넘치게 된다.
B. 이성과 바람이 난다.
C. 행운을 가져온다.
D. 노래 실력이 향상된다.",B
8,8,Korean,아이 위로 넘어 다니면 아이 키가 안 큰다,"If you pass over a child who is lying down, the child won't grow tall.","In Korean culture, what is believed to happen if you pass over a child who is lying down?",한국 문화에서는 누워 있는 아이 위로 넘어가면 어떤 일이 일어난다고 믿나요?,"A. The child won't grow tall.
B. The child will have good luck.
C. The child will have a long life.
D. The child will be very intelligent.","A. 아이가 키가 크지 않는다.
B. 아이가 행운을 얻는다.
C. 아이가 장수하게 된다.
D. 아이가 매우 똑똑해진다.",A
9,9,Korean,까치는 행운을 가져온다,Magpies bring good luck.,"In Korean culture, which bird is considered to bring good luck?",한국 문화에서 행운을 가져다준다고 여겨지는 새는 무엇인가요?,"A. Magpie
B. Bald eagle
C. Robin
D. Peacock.","A. 까치
B. 대머리독수리
C. 울새
D. 공작",A
10,10,Korean,까마귀는 불운을 가져온다,The cawing of crows brings misfortune.,"In Korean culture, what does the cawing of crows symbolize?",한국 문화에서 까마귀가 우는 것은 무엇을 상징하나요?,"A. Good luck
B. Misfortune
C. Coming of rain
D. Visitors arriving","A. 행운
B. 불운
C. 비가 올 징조
D. 방문객이 올 징조",B
11,11,Korean,다리를 떨면 복이 달아난다.,Shaking your legs will make your luck run away.,"In Korean culture, what is believed to happen if you shake your legs?",한국 문화에서는 다리를 떨면 어떤 일이 일어난다고 믿나요?,"A. It makes your luck run away.
B. It is considered a way to invite good fortune.
C. It is a sign of being open and relaxed.
D. It is seen as a way to show eagerness or interest.","A. 행운이 달아난다.
B. 행운을 부르는 방법으로 여겨진다.
C. 개방적이고 편안하다는 신호로 여겨진다.
D. 열정이나 관심을 보여주는 방식으로 간주된다.",A
12,12,Korean,문지방을 밟으면 안 된다.,Avoid stepping on the threshold.,"In Korean culture, what should you avoid doing when entering a home?",한국 문화에서는 집에 들어갈 때 어떤 일을 하는 것을 피해야 하나요?,"A. Taking off your shoes before entering
B. Knocking on the door three times
C. Stepping on the threshold
D. Bringing a bottle of wine as a gift","A. 집에 들어가기 전에 신발을 벗는 것
B. 문을 세 번 두드리는 것
C. 문지방을 밟는 것
D. 선물로 와인을 가져오는 것",C
13,13,Korean,"밤에 손,발톱을 깎으면 안된다. 쥐가 어떤 사람의 손톱을 먹으면 그 사람이 된다.","You shouldn't trim your nails at night. There's also a myth that if a mouse eats your nails, it will turn into a person.","In Korean culture, why shouldn't you trim your nails at night?",한국 문화에서는 왜 밤에 손톱을 깎으면 안 된다고 하나요?,"A. It's considered bad luck because a myth says a mouse could eat them and turn into a person.
B. It's believed that doing so will bring unexpected guests.
C. It's thought to cause financial losses in the household.
D. It's seen as a sign of disrespect to the family elders.","A. 쥐가 손톱을 먹고 사람으로 변할 수 있다는 전설 때문에 불운으로 여겨진다.
B. 그렇게 하면 뜻밖의 손님이 찾아온다고 믿는다.
C. 가정에 재정적 손실을 가져온다고 생각한다.
D. 가족 어른들에게 무례함을 나타내는 것으로 간주된다.",A
14,14,Korean,시험 당일에 미역국을 먹으면 시험에 떨어진다.,Eating seaweed soup on the day of an exam causes failure.,"In Korean culture, what food is believed to cause failure if eaten on the day of an exam?",한국 문화에서는 시험 당일에 어떤 음식을 먹으면 시험에 실패한다고 믿나요?,"A. Seaweed soup
B. Apple pie
C. Peanut butter sandwich
D. Hamburger.","A. 미역국
B. 애플파이
C. 땅콩버터 샌드위치
D. 햄버거",A
15,15,Korean,밥 먹고 바로 누우면 소가 된다.,"If you lie down immediately after having a meal, you'll become a cow.","In Korean culture, what are you believed to turn into if you lie down immediately after having a meal?",한국 문화에서는 식사 후 바로 눕게 되면 무엇으로 변한다고 믿나요?,"A. A cow
B. A pig
C. A snake
D. A rabbit","A. 소
B. 돼지
C. 뱀
D. 토끼",A
16,16,Korean,밥을 먹을 때 상의 모서리에 앉아서 먹으면 안 된다.,Sitting on the edge of a table while having a meal is considered unlucky.,"In Korean culture, why is sitting on the edge of a table while having a meal avoided?",한국 문화에서는 왜 식사 중에 탁자 모서리에 앉는 것을 피하나요?,"A. It's considered unlucky
B. It's seen as inviting more guests
C. It's regarded as a formal dining position
D. It's believed to improve digestion.","A. 불운하다고 여겨지기 때문이다.
B. 손님을 더 초대하는 것으로 여겨지기 때문이다.
C. 격식을 차리는 자리로 간주되기 때문이다.
D. 소화를 돕는다고 믿어지기 때문이다.",A
17,17,Korean,한숨을 쉬면 복이 달아난다.,Taking a deep breath will make good fortune run away.,"In Korean culture, what is believed to happen if someone takes a deep breath before starting something important?",한국 문화에서는 중요한 일을 시작하기 전에 한숨을 쉬면 어떤 일이 일어난다고 믿나요?,"A. It will bring extra focus and clarity.
B. It will make good luck leave them.
C. It will increase their energy for the task.
D. It will relax their mind and improve performance.","A. 더 집중하고 명료해질 것이다.
B. 행운이 떠나갈 것이다.
C. 그 일에 대한 에너지가 증가할 것이다.
D. 마음을 편안하게 하고 성과를 향상시킬 것이다.",B
