id,question,choices,output,correct
0,한국 문화에서 불길하다고 여겨지는 숫자는 무엇인가요?,"A. 4
B. 13
C. 7
D. 666",A. 4,True
1,한국 문화에서는 잠을 잘 때 문을 닫고 선풍기를 켜면 어떤 일이 일어난다고 믿나요?,"A. 좋은 꿈을 꾸게 된다
B. 에너지 수준을 높인다
C. 죽음을 불러온다
D. 공기 질이 개선된다",C. 죽음을 불러온다,True
2,한국 문화에서는 밤에 피리를 불면 어떤 일이 일어난다고 믿나요?,"A. 행운을 끌어들인다
B. 악몽을 불러온다
C. 뱀을 불러들인다
D. 비를 내리게 한다",C. 뱀을 불러들인다,True
3,한국 문화에서는 연인에게 신발을 선물하면 어떤 일이 일어난다고 믿나요?,"A. 연인과 영원히 함께할 것이다
B. 연인이 답례로 선물을 줄 것이다
C. 연인이 떠나버릴 것이다
D. 연인이 청혼할 것이다",回答: C. 这个礼物会导致恋人离开你。,False
4,이름을 빨간 잉크로 쓰는 것은 한국 문화에서 무엇을 상징하나요?,"A. 죽음을 불러올 것이다
B. 행운의 상징이다
C. 명예의 표시로 여겨진다
D. 새로운 시작을 의미한다",B. 행운의 상징이다,False
5,한국에서는 연인과 덕수궁 돌담길을 함께 걸으면 어떤 일이 일어난다고 믿나요?,"A. 연인과 오래가는 관계를 유지하게 될 것이다.
B. 연인과 이별하게 될 것이다.
C. 연인과 곧 약혼하게 될 것이다.
D. 연인과 함께 숨겨진 보물을 찾게 될 것이다.",A. 연인과 오래가는 관계를 유지하게 될 것이다.,False
6,한국에서는 돼지 꿈을 꾸는 것에 대해 어떤 믿음이 있나요?,"A. 집을 청소해야 한다는 뜻이다.
B. 돈이 들어올 것이라는 뜻이다.
C. 새로운 시작을 상징한다.
D. 다이어트를 시작하라는 신호이다.",B. 돈이 들어올 것이라는 뜻이다.,True
7,한국 문화에서는 닭날개를 먹으면 어떤 일이 일어난다고 믿나요?,"A. 에너지가 넘치게 된다.
B. 이성과 바람이 난다.
C. 행운을 가져온다.
D. 노래 실력이 향상된다.",C. 행운을 가져온다.,False
9,한국 문화에서는 누워 있는 아이 위로 넘어가면 어떤 일이 일어난다고 믿나요?,"A. 아이가 키가 크지 않는다.
B. 아이가 행운을 얻는다.
C. 아이가 장수하게 된다.
D. 아이가 매우 똑똑해진다.",B. 아이가 행운을 얻는다.,False
10,한국 문화에서 행운을 가져다준다고 여겨지는 새는 무엇인가요?,"A. 까치
B. 대머리독수리
C. 울새
D. 공작",A. 까치,True
11,한국 문화에서 까마귀가 우는 것은 무엇을 상징하나요?,"A. 행운
B. 불운
C. 비가 올 징조
D. 방문객이 올 징조",B. 불운,True
12,한국 문화에서는 다리를 떨면 어떤 일이 일어난다고 믿나요?,"A. 행운이 달아난다.
B. 행운을 부르는 방법으로 여겨진다.
C. 개방적이고 편안하다는 신호로 여겨진다.
D. 열정이나 관심을 보여주는 방식으로 간주된다.",A. 행운이 달아난다.,True
13,한국 문화에서는 집에 들어갈 때 어떤 일을 하는 것을 피해야 하나요?,"A. 집에 들어가기 전에 신발을 벗는 것
B. 문을 세 번 두드리는 것
C. 문지방을 밟는 것
D. 선물로 와인을 가져오는 것",C. 문지방을 밟는 것,True
14,한국 문화에서는 왜 밤에 손톱을 깎으면 안 된다고 하나요?,"A. 쥐가 손톱을 먹고 사람으로 변할 수 있다는 전설 때문에 불운으로 여겨진다.
B. 그렇게 하면 뜻밖의 손님이 찾아온다고 믿는다.
C. 가정에 재정적 손실을 가져온다고 생각한다.
D. 가족 어른들에게 무례함을 나타내는 것으로 간주된다.",B. 그렇게 하면 뜻밖의 손님이 찾아온다고 믿는다.,False
15,한국 문화에서는 시험 당일에 어떤 음식을 먹으면 시험에 실패한다고 믿나요?,"A. 미역국
B. 애플파이
C. 땅콩버터 샌드위치
D. 햄버거",C. 땅콩버터 샌드위치,False
16,한국 문화에서는 식사 후 바로 눕게 되면 무엇으로 변한다고 믿나요?,"A. 소
B. 돼지
C. 뱀
D. 토끼",B. 돼지,False
17,한국 문화에서는 왜 식사 중에 탁자 모서리에 앉는 것을 피하나요?,"A. 불운하다고 여겨지기 때문이다.
B. 손님을 더 초대하는 것으로 여겨지기 때문이다.
C. 격식을 차리는 자리로 간주되기 때문이다.
D. 소화를 돕는다고 믿어지기 때문이다.",A. 불운하다고 여겨지기 때문이다.,True
19,한국 문화에서는 임신한 여성이 무엇을 해서는 안 된다고 믿나요?,"A. 장례식 참석
B. 아기가 태어나기 전에 베이비 샤워
C. 찬물 마시기
D. 하이힐 신기",C. 찬물 마시기,False
20,한국 문화에서 부정한 기운을 없애고 악령을 물리치기 위해 무엇을 뿌리나요?,"A. 소금과 팥
B. 세이지와 라벤더
C. 성수와 유향
D. 강황과 쌀",C. 성수와 유향,False
21,한국 문화에서는 노래 실력을 향상시키기 위해 무엇을 하면 좋다고 믿나요?,"A. 생달걀을 먹기
B. 따뜻한 레몬 물 마시기
C. 사과 슬라이스를 꿀과 함께 먹기
D. 생강 슬라이스를 씹기",B. 따뜻한 레몬 물 마시기,False
22,한국 문화에서는 아기가 건강하게 자라려면 무엇을 해야 한다고 믿나요?,"A. 태명을 지어주기
B. 아기 침대 위에 드림캐쳐 걸기
C. 아기의 이름으로 나무 심기
D. 아기가 태어나기 전에 베이비 샤워 열기",A. 태명을 지어주기,True
23,한국 전통에서 돌잡이 의식 동안 아기가 처음 잡는 물건은 그들의 미래에 대해 무엇을 상징하나요?,"A. 그들의 미래 재능과 직업 경로를 나타낸다.
B. 그들이 다닐 대학을 선택한다.
C. 그들의 정치 성향을 결정한다.
D. 그들의 미래 배우자를 선택한다.",A. 그들의 미래 재능과 직업 경로를 나타낸다.,True
24,한국 문화에서 밥을 먹을 때 무엇을 하면 불운을 가져온다고 여겨지나요?,"A. 젓가락으로 밥을 먹기
B. 같은 그릇에서 밥을 나눠 먹기
C. 밥그릇에 숟가락을 꽂아두기
D. 뜨거운 밥을 식히기 위해 불기",C. 밥그릇에 숟가락을 꽂아두기,True
25,한국 문화에서 저녁에 사과를 먹는 것은 어떻게 여겨지나요?,"A. 건강한 간식으로
B. 디저트로
C. 독으로
D. 전통 약으로",C. 독으로,True
26,한국의 믿음에 따르면 산성비를 맞으면 어떤 결과가 생긴다고 여겨지나요?,"A. 탈모를 유발한다.
B. 지능이 높아진다.
C. 행운을 가져온다.
D. 피부 건강을 개선한다.",A. 탈모를 유발한다.,True
28,한국의 믿음에 따르면 욕을 많이 먹으면 어떤 일이 일어난다고 하나요?,"A. 오래 살게 된다.
B. 더 성공하게 된다.
C. 진정한 사랑을 찾게 된다.
D. 행운을 얻게 된다.",A. 오래 살게 된다.,True
29,한국 문화에서 조의금으로 적절한 금액은 얼마인가요?,"A. 짝수 금액
B. 정확히 50달러
C. 홀수 금액
D. 상품권",A. 짝수 금액,False
30,한국 문화에서 살아 있는 사람에게 적합하지 않은 꽃은 무엇인가요?,"A. 하얀 국화
B. 장미
C. 카네이션
D. 해바라기",A. 하얀 국화,True
31,한국 문화에서 나이가 9로 끝날 때 왜 주의해야 한다고 하나요?,"A. 그 해에 불운이 가장 많이 따른다고 여겨진다.
B. 직업을 바꿔야 한다고 기대되는 나이다.
C. 정치에 출마할 것을 고려해야 하는 나이다.
D. 사업을 시작하기에 적절한 나이로 여겨진다.",A. 그 해에 불운이 가장 많이 따른다고 여겨진다.,True
32,한국 문화에서는 울고 난 후에 웃으면 어떤 일이 일어난다고 믿나요?,"A. 엉덩이에 뿔이나 털이 난다.
B. 다음 날 돈을 발견하게 된다.
C. 일주일 동안 행운이 따른다.
D. 1년 안에 소원이 이루어진다.",C. 일주일 동안 행운이 따른다.,False
33,한국 문화에서는 머리를 어느 방향으로 두고 자는 것을 피해야 하나요?,"A. 남쪽을 향하는 것
B. 서쪽을 향하는 것
C. 북쪽이나 문을 향하는 것
D. 동쪽을 향하는 것",C. 북쪽이나 문을 향하는 것,True
