model_name,language,file,num_questions,num_correct,accuracy
gpt-4o-2024-05-13,eng,gpt-4o-2024-05-13_mcq_eng.csv,31,30,96.77%
claude3opus,eng,claude3opus_mcq_eng.csv,31,25,80.65%
mistral-large-2402,eng,mistral-large-2402_mcq_eng.csv,31,26,83.87%
gpt3.5turbo,eng,gpt3.5turbo_mcq_eng.csv,31,22,70.97%
claude-opus-4-20250514,eng,claude-opus-4-20250514_mcq_eng.csv,31,30,96.77%
deepseek-chat,eng,deepseek-chat_mcq_eng.csv,31,29,93.55%
llama3.1-8b-instruct,eng,llama3.1-8b-instruct_mcq_eng.csv,31,25,80.65%
exaone3-7.8B,eng,exaone3-7.8B_mcq_eng.csv,31,19,61.29%
mistral-7b-instruct-v2,eng,mistral-7b-instruct-v2_mcq_eng.csv,31,21,67.74%
gemini-2.5-pro-preview-05-06,eng,gemini-2.5-pro-preview-05-06_mcq_eng.csv,31,31,100.00%
gpt4turbo-0409,eng,gpt4turbo-0409_mcq_eng.csv,31,30,96.77%
hyperclovaX-HCX-003,eng,hyperclovaX-HCX-003_mcq_eng.csv,31,21,67.74%
gpt-4.5-preview-2025-02-27,eng,gpt-4.5-preview-2025-02-27_mcq_eng.csv,31,29,93.55%
gemini1.5pro,eng,gemini1.5pro_mcq_eng.csv,31,30,96.77%
kullm3,eng,kullm3_mcq_eng.csv,31,21,67.74%
qwen2.5-7b-instruct,eng,qwen2.5-7b-instruct_mcq_eng.csv,31,24,77.42%
llama3-8b-instruct,eng,llama3-8b-instruct_mcq_eng.csv,31,22,70.97%
claude3sonnet,eng,claude3sonnet_mcq_eng.csv,31,15,48.39%
