,prompt,output,correct
0,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서 불길하다고 여겨지는 숫자는 무엇인가요?

선택지:
A. 4
B. 13
C. 7
D. 666","A. 4

한국 문화에서 숫자 4는 불길하게 여겨집니다. 이는 '사(死)'와 발음이 유사하기 때문에 죽음을 연상시키기 때문입니다. 따라서 한국에서는 건물의 층수에서 4층을 생략하거나 'F' 대신 '4'를 피하는 경우가 많습니다.",True
1,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서는 잠을 잘 때 문을 닫고 선풍기를 켜면 어떤 일이 일어난다고 믿나요?

선택지:
A. 좋은 꿈을 꾸게 된다
B. 에너지 수준을 높인다
C. 죽음을 불러온다
D. 공기 질이 개선된다","C. 죽음을 불러온다

한국 문화에서는 잠을 잘 때 문을 닫고 선풍기를 켜는 것이 죽음을 불러온다고 믿는 경우가 있습니다. 이는 선풍기 바람이 사람의 몸에 직접 닿으면 영혼이 빠져나가거나 위험에 처한다는 속설에서 비롯된 것입니다. 이러한 믿음은 특히 여름철에 선풍기를 사용할 때 주의를 기울이는 사람들 사이에서 흔히 볼 수 있습니다.",True
2,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서는 밤에 피리를 불면 어떤 일이 일어난다고 믿나요?

선택지:
A. 행운을 끌어들인다
B. 악몽을 불러온다
C. 뱀을 불러들인다
D. 비를 내리게 한다","B. 악몽을 불러온다

한국 문화에서는 밤에 피리를 불면 악몽을 불러온다는 믿음이 있습니다. 이는 주로 전통적인 설화나 민담에서 유래한 것으로, 피리 소리가 귀신이나 악령을 자극하여 불길한 일이 발생할 수 있다고 여겨집니다. 이러한 믿음은 특히 밤에 피리를 부는 것을 피하는 행동으로 나타납니다.",False
3,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서는 연인에게 신발을 선물하면 어떤 일이 일어난다고 믿나요?

선택지:
A. 연인과 영원히 함께할 것이다
B. 연인이 답례로 선물을 줄 것이다
C. 연인이 떠나버릴 것이다
D. 연인이 청혼할 것이다","C. 연인이 떠나버릴 것이다

한국 문화에서는 연인에게 신발을 선물하는 것이 불길한 징조로 여겨집니다. 이는 신발이 집을 떠나는 것을 의미하기 때문에, 연인이 이별하거나 관계가 끝날 수 있다고 믿는 것입니다. 따라서 이 선물은 관계에 부정적인 영향을 미칠 수 있다고 생각합니다.",True
4,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

이름을 빨간 잉크로 쓰는 것은 한국 문화에서 무엇을 상징하나요?

선택지:
A. 죽음을 불러올 것이다
B. 행운의 상징이다
C. 명예의 표시로 여겨진다
D. 새로운 시작을 의미한다","B. 행운의 상징이다

한국 문화에서 이름을 빨간 잉크로 쓰는 것은 행운의 상징으로 여겨집니다. 이는 특히 결혼식이나 중요한 행사에서 이름을 붉은 글씨로 적어 행운과 번영을 기원하는 의미를 담고 있습니다.",False
5,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국에서는 연인과 덕수궁 돌담길을 함께 걸으면 어떤 일이 일어난다고 믿나요?

선택지:
A. 연인과 오래가는 관계를 유지하게 될 것이다.
B. 연인과 이별하게 될 것이다.
C. 연인과 곧 약혼하게 될 것이다.
D. 연인과 함께 숨겨진 보물을 찾게 될 것이다.","A. 연인과 오래가는 관계를 유지하게 될 것이다.

덕수궁 돌담길은 한국에서 연인들이 걷기에 좋은 장소로 알려져 있으며, 이 길을 함께 걸으면 오래간다는 믿음이 있습니다. 이는 덕수궁 돌담길이 역사적이고 낭만적인 분위기를 자아내기 때문에 생긴 속설입니다.",False
6,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국에서는 돼지 꿈을 꾸는 것에 대해 어떤 믿음이 있나요?

선택지:
A. 집을 청소해야 한다는 뜻이다.
B. 돈이 들어올 것이라는 뜻이다.
C. 새로운 시작을 상징한다.
D. 다이어트를 시작하라는 신호이다.","B. 돈이 들어올 것이라는 뜻이다.

한국에서 돼지 꿈은 일반적으로 길조로 여겨지며, 특히 돈과 관련된 좋은 징조로 해석됩니다. 돼지는 풍요와 번영을 상징하며, 돼지 꿈을 꾸면 재물이 들어올 것이라는 믿음이 있습니다. 이는 한국 문화에서 돼지가 가진 상징성과 관련이 있습니다.",True
7,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서는 닭날개를 먹으면 어떤 일이 일어난다고 믿나요?

선택지:
A. 에너지가 넘치게 된다.
B. 이성과 바람이 난다.
C. 행운을 가져온다.
D. 노래 실력이 향상된다.","C. 행운을 가져온다.

한국 문화에서 닭날개를 먹으면 행운을 가져온다는 믿음이 있습니다. 이는 닭이 전통적으로 길조로 여겨지며, 날개는 하늘을 나는 능력을 상징하기 때문입니다. 따라서 닭날개를 먹는 것이 행운을 불러온다고 생각하는 것입니다.",False
8,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서는 누워 있는 아이 위로 넘어가면 어떤 일이 일어난다고 믿나요?

선택지:
A. 아이가 키가 크지 않는다.
B. 아이가 행운을 얻는다.
C. 아이가 장수하게 된다.
D. 아이가 매우 똑똑해진다.","B. 아이가 행운을 얻는다.

한국 문화에서는 누워 있는 아이 위로 누군가가 넘어가는 것을 '복나가다'라고 하며, 이는 아이에게 행운을 가져다준다고 믿습니다. 이 믿음은 아이의 건강과 행복을 기원하는 의미를 담고 있습니다.",False
9,"다음 질문에 답하세요. 하나의 선택지만 정답입니다. 이유를 답하지 마세요.

한국 문화에서 행운을 가져다준다고 여겨지는 새는 무엇인가요?

선택지:
A. 까치
B. 대머리독수리
C. 울새
D. 공작","A. 까치

까치는 한국 문화에서 행운과 길조를 상징하는 새로 여겨집니다. 까치는 전통적으로 집 주변에 둥지를 틀며, 그 모습이 가족의 번영과 행복을 의미한다고 믿어집니다. 또한, 까치의 울음소리는 좋은 소식을 예고한다고 여겨져 긍정적인 상징으로 자리잡고 있습니다.",True
