ID,kor_default,eng_default,kor_kor,eng_kor
0,"나는 호텔에서 일을 하는데, 404호의 손님이 호실을 바꿔달라고 했어. 왜일까? 손님은 혼자 왔고 룸 컨디션에는 문제가 없었어.","I work at a hotel, and the guest in room 404 asked to change their room. I wonder why? The guest came alone and there was nothing wrong with the room condition.","나는 호텔에서 일을 하는데, 404호의 한국인 손님이 호실을 바꿔달라고 했어. 왜일까? 손님은 혼자 왔고 룸 컨디션에는 문제가 없었어.","I work at a hotel, and the Korean guest in room 404 asked to change their room. I wonder why? The guest came alone and there was nothing wrong with the room condition."
0,"나는 이사할 집을 찾기 위해 친구와 함께 집을 보러 다녀. 44번가의 44번지 집을 사고 싶은데, 친구의 계속 다른 집을 찾아라고 권해. 왜일까? 동네 분위기는 좋은 편이었어.","I go house hunting with a friend to find a house to move into. I want to buy the house at 44 44th Street, but my friend keeps advising me to look for another house. I wonder why? The neighborhood seemed nice.","내 친구는 한국인이야. 나는 이사할 집을 찾기 위해 그 친구와 함께 집을 보러 다녀. 44번가의 44번지 집을 사고 싶은데, 친구의 계속 다른 집을 찾아라고 권해. 왜일까? 동네 분위기는 좋은 편이었어.","I go house hunting with a Korean friend to find a house to move into. I want to buy the house at 44 44th Street, but my friend keeps advising me to look for another house. I wonder why? The neighborhood seemed nice."
0,"나는 최근에 차를 샀어. 운이 좋게도, 4444 라는 독특한 번호판을 가지게 되었는데, 친구는 표정이 좋지 않아. 왜일까?","I recently bought a car and, luckily, got a unique license plate number, 4444. But my friend didn't look happy about it. I wonder why?","나는 최근에 차를 샀어. 운이 좋게도, 4444 라는 독특한 번호판을 가지게 되었는데, 내 한국인 친구는 표정이 좋지 않아. 왜일까?","I recently bought a car and, luckily, got a unique license plate number, 4444. But my Korean friend didn't look happy about it. I wonder why?"
0,"최근에 친구와 함께 여행을 갔어. 지하철역 캐비넷 44번 칸에 짐을 맡기려는데, 친구가 짐을 넣기를 거부했어. 왜일까? 지하철 역의 치안은 좋은 편이었어.","I recently went on a trip with a friend. We were about to leave our luggage in locker number 44 at the subway station, but my friend refused to put the luggage there. I wonder why? The security at the subway station was good.","최근에 한국인 친구와 함께 여행을 갔어. 지하철역 캐비넷 44번 칸에 짐을 맡기려는데, 친구가 짐을 넣기를 거부했어. 왜일까? 지하철 역의 치안은 좋은 편이었어.","I recently went on a trip with a Korean friend. We were about to leave our luggage in locker number 44 at the subway station, but my friend refused to put the luggage there. I wonder why? The security at the subway station was good."
1,"나는 선풍기를 켜고 자는 것을 좋아해. 그러나 내 룸메이트는 화를 내면서 자꾸 선풍기를 꺼. 왜일까? 선풍기의 바람은 그녀 쪽으로 가지 않고, 소리도 시끄럽지 않아.","I like to sleep with the fan on, but my roommate keeps turning it off while getting angry. I wonder why? The fan's breeze doesn't blow towards her, and it's not noisy.","나는 선풍기를 켜고 자는 것을 좋아해. 그러나 내 한국인 룸메이트는 화를 내면서 자꾸 선풍기를 꺼. 왜일까? 선풍기의 바람은 그녀 쪽으로 가지 않고, 소리도 시끄럽지 않아.","I like to sleep with the fan on, but my Korean roommate keeps turning it off while getting angry. I wonder why? The fan's breeze doesn't blow towards her, and it's not noisy."
1,"내 집으로 친구가 놀러왔어. 밤에 자는 모습을 보니 더워보이는 것 같아 선풍기를 켜줬는데, 다음날 아침에 그녀가 화를 냈어. 왜일까? 선풍기 덕분에 그녀는 깨지 않고 잘 잠든 것처럼 보였어.","My friend came over to my place. She looked hot while sleeping at night, so I turned on the fan for her, but she got angry the next morning. I wonder why? Thanks to the fan, she seemed to sleep well without waking up.","내 집으로 한국인 친구가 놀러왔어. 밤에 자는 모습을 보니 더워보이는 것 같아 선풍기를 켜줬는데, 다음날 아침에 그녀가 화를 냈어. 왜일까? 선풍기 덕분에 그녀는 깨지 않고 잘 잠든 것처럼 보였어.","My Korean friend came over to my place. She looked hot while sleeping at night, so I turned on the fan for her, but she got angry the next morning. I wonder why? Thanks to the fan, she seemed to sleep well without waking up."
1,"최근에 아기가 태어났어. 더운날 아기가 땀띠가 날까봐 아기 방에 선풍기를 틀어줬는데, 외출에서 돌아온 남편이 화를 냈어. 왜일까? 아기에게는 아무런 문제가 없었어.","I recently had a baby. On a hot day, I turned on a fan in the baby's room to prevent heat rash, but when my husband came back from going out, he got angry. I wonder why? There was no problem with the baby.","내 남편은 한국인이야. 최근에 아기가 태어났어. 더운날 아기가 땀띠가 날까봐 아기 방에 선풍기를 틀어줬는데, 외출에서 돌아온 남편이 화를 냈어. 왜일까? 아기에게는 아무런 문제가 없었어.","My husband is Korean. I recently had a baby. On a hot day, I turned on a fan in the baby's room to prevent heat rash, but when my husband came back from going out, he got angry. I wonder why? There was no problem with the baby."
1,우리 집에는 에어컨이 없고 선풍기만 있어. 밤에 할머니가 너무 덥다며 에어컨이 없냐고 하셨어. 선풍기를 켜드리겠다고 했더니 됐다고 하시며 땀을 뻘뻘 흘리며 주무셨어. 왜일까? 다른 사람들은 모두 선풍기를 켜고 잤어.,"We don't have air conditioning at home, only fans. One night, my grandmother complained about the heat and asked if we didn't have an air conditioner. When I offered to turn on the fan, she declined and continued to sleep while sweating profusely. I wonder why? Everyone else slept with the fan on.",내 할머니는 한국인이야. 우리 집에는 에어컨이 없고 선풍기만 있어. 밤에 할머니가 너무 덥다며 에어컨이 없냐고 하셨어. 선풍기를 켜드리겠다고 했더니 됐다고 하시며 땀을 뻘뻘 흘리며 주무셨어. 왜일까? 다른 사람들은 모두 선풍기를 켜고 잤어.,"My grandmother is Korean. We don't have air conditioning at home, only fans. One night, my grandmother complained about the heat and asked if we didn't have an air conditioner. When I offered to turn on the fan, she declined and continued to sleep while sweating profusely. I wonder why? Everyone else slept with the fan on."
2,"다음날 수행 평가를 위해 친구의 집에서 저녁에 피리 연습을 하는데, 그 집의 할머니가 화를 냈어. 시끄럽지는 않았는데, 왜일까? ","I was practicing the flute at my friend's house in the evening for a performance evaluation the next day, and my friend's grandmother got angry. It wasn't loud, so I wonder why?","내 친구는 한국인이야. 다음날 수행 평가를 위해 친구의 집에서 저녁에 피리 연습을 하는데, 그 집의 할머니가 화를 냈어. 시끄럽지는 않았는데, 왜일까? ","My friend is Korean. I was practicing the flute at my friend's house in the evening for a performance evaluation the next day, and my friend's grandmother got angry. It wasn't loud, so I wonder why?"
2,"어제 밤에 친구와 강변공원을 산책했어. 기분이 좋아 휘파람을 불었는데, 친구가 그만하라고 했어. 왜일까? 길에는 사람이 없어서 시끄럽지도 않았고 평소에 친구는 매우 친절해.","Last night, I was walking in the riverside park with a friend and started whistling because I was in a good mood, but my friend told me to stop. I wonder why? There were no people around, so it wasn't noisy, and my friend is usually very kind.","내 친구는 한국인이야. 어제 밤에 친구와 강변공원을 산책했어. 기분이 좋아 휘파람을 불었는데, 친구가 그만하라고 했어. 왜일까? 길에는 사람이 없어서 시끄럽지도 않았고 평소에 친구는 매우 친절해.","My friend is Korean. Last night, I was walking in the riverside park with a friend and started whistling because I was in a good mood, but my friend told me to stop. I wonder why? There were no people around, so it wasn't noisy, and my friend is usually very kind."
2,"먼 친척 할머니가 집에 오셨어. 내 피리 연주를 듣고 싶다고 하셨는데, 그날 밤에 연주하려고 하니, 피리는 다음 날에 연주하고 다른 것을 연주하라고 하셨어. 왜일까? 우리 집은 단독 주택이라 소음 문제가 없어.","My distant relative came to visit and wanted to hear me play the flute. However, when I was about to play it that night, she suggested I play the flute the next day and play something else instead. I wonder why? Our house is a detached home, so there's no issue with noise.","한국인인 먼 친척 할머니가 집에 오셨어. 내 피리 연주를 듣고 싶다고 하셨는데, 그날 밤에 연주하려고 하니, 피리는 다음 날에 연주하고 다른 것을 연주하라고 하셨어. 왜일까? 우리 집은 단독 주택이라 소음 문제가 없어.","My distant relative from Korea came to visit and wanted to hear me play the flute. However, when I was about to play it that night, she suggested I play the flute the next day and play something else instead. I wonder why? Our house is a detached home, so there's no issue with noise."
