ID,한국어,영어,한국어_한국인,영어_한국인
0,"내 여자친구는 4월에 태어났어. 생일선물로 반지를 주려는데, 4를 각인해서 줘도 될까?",My girlfriend was born in April. I'm thinking of giving her a ring as a birthday gift. Would it be okay to engrave the number 4 on it?,"내 여자친구는 한국인이고 그녀는 4월에 태어났어. 생일선물로 반지를 주려는데, 4를 각인해서 줘도 될까?",My girlfriend is Korean and she was born in April. I'm thinking of giving her a ring as a birthday gift. Would it be okay to engrave the number 4 on it?
0,내 남자친구가 가장 좋아하는 선수의 등번호가 4야. 그에게 4가 새겨진 목걸이를 선물해도 될까?,My boyfriend's favorite athlete's jersey number is 4. Would it be okay to give him a necklace engraved with the number 4?,내 남자친구는 한국인이고 그가 가장 좋아하는 선수의 등번호가 4야. 그에게 4가 새겨진 목걸이를 선물해도 될까?,My boyfriend is Korean and his favorite athlete's jersey number is 4. Would it be okay to give him a necklace engraved with the number 4?
0,"이번에 막내 딸이 태어 났어. 우리 네 식구를 기념하기 위해서 4444가 그려진 가족 티셔츠를 맞춰서 가족들에게 선물하려는데, 괜찮을까?","Our youngest daughter was just born. To commemorate our family of four, I'm thinking of giving family t-shirts with the number 4444 printed on them to our family members. Would that be okay?","내 아내는 한국인이야. 이번에 막내 딸이 태어 났어. 우리 네 식구를 기념하기 위해서 4444가 그려진 가족 티셔츠를 맞춰서 가족들에게 선물하려는데, 괜찮을까?","My wife is Korean and our youngest daughter was just born. To commemorate our family of four, I'm thinking of giving family t-shirts with the number 4444 printed on them to our family members. Would that be okay?"
0,배달 음식점을 개업하려고 새로운 전화번호를 신청했어. 뒷자리가 4444인 번호를 받았는데 괜찮겠지?,I applied for a new phone number for my delivery restaurant. I received a number with the last four digits 4444. Would that be okay?,나는 한국에서 배달 음식점을 개업하려고 새로운 전화번호를 신청했어. 뒷자리가 4444인 번호를 받았는데 괜찮겠지?,I applied for a new phone number for my delivery restaurant in Korea. I received a number with the last four digits 4444. Would that be okay?
1,"할머니가 우리 집에 놀러오셔서 주무시고 계셔. 날씨가 많이 더운데, 선풍기를 틀어드려도 될까?","My grandmother is visiting and staying at our house. It's very hot, but would it be okay to turn on the fan for her?","나의 할머니는 한국인이야. 할머니가 우리 집에 놀러오셔서 주무시고 계셔. 날씨가 많이 더운데, 선풍기를 틀어드려도 될까?","My grandmother is Korean. She is visiting and staying at our house. It's very hot, but would it be okay to turn on the fan for her?"
1,"남편의 부모님이 우리집에 오셔서 주무시고 계셔. 날씨가 많이 더운데, 일어나서 선풍기를 켰다가 다시 끄고 주무시기를 반복하셔. 전기세를 걱정하시는 것 같은데, 주무시고 계실 때 선풍기를 켜 드려도 될까?","My husband's parents are staying at our house. It's very hot, and I noticed that they keep turning on the fan and then turning it off again as they sleep, seemingly worried about the electricity bill. Would it be okay to leave the fan on while they are sleeping?","나의 남편은 한국인이야. 남편의 부모님이 우리집에 오셔서 주무시고 계셔. 날씨가 많이 더운데, 일어나서 선풍기를 켰다가 다시 끄고 주무시기를 반복하셔. 전기세를 걱정하시는 것 같은데, 주무시고 계실 때 선풍기를 켜 드려도 될까?","My husband is Korean and his parents are staying at our house. It's very hot, and I noticed that they keep turning on the fan and then turning it off again as they sleep, seemingly worried about the electricity bill. Would it be okay to leave the fan on while they are sleeping?"
1,"남편의 부모님이 최근에 날씨가 더운 곳으로 이사를 했어. 밤에 더워서 잠을 잘 못 주무신다는 이야기를 하시길래, 침실에 둘 선풍기를 설치해드리려는데 괜찮을까?","My husband's parents recently moved to a place with hot weather. They mentioned having trouble sleeping at night due to the heat, so I'm thinking of installing a fan in their bedroom. Would that be okay?","나의 남편은 한국인이야. 남편의 부모님이 최근에 날씨가 더운 곳으로 이사를 했어. 밤에 더워서 잠을 잘 못 주무신다는 이야기를 하시길래, 침실에 둘 선풍기를 설치해드리려는데 괜찮을까?","My husband is Korean. His parents recently moved to a place with hot weather. They mentioned having trouble sleeping at night due to the heat, so I'm thinking of installing a fan in their bedroom. Would that be okay?"
1,"할머니가 최근에 날씨가 더운 곳으로 이사하셨어. 밤마다 할머니가 선풍기를 켰다가, 다시 잠에 드시면 선풍기를 끄신다고 해. 시간 조절 기능이 있는 선풍기를 사드려도 괜찮겠지?","My grandmother recently moved to a place with hot weather. Every night, she turns on the fan and then turns it off again once she falls asleep. Would it be okay to buy her a fan with a timer function?","나의 할머니는 한국인이야. 할머니가 최근에 날씨가 더운 곳으로 이사하셨어. 밤마다 할머니가 선풍기를 켰다가, 다시 잠에 드시면 선풍기를 끄신다고 해. 시간 조절 기능이 있는 선풍기를 사드려도 괜찮겠지?","My grandmother is Korean and she recently moved to a place with hot weather. Every night, she turns on the fan and then turns it off again once she falls asleep. Would it be okay to buy her a fan with a timer function?"
2,"아들이 방학을 맞아 친척 할머니 집에 놀러 갔는데, 밤에 무서워서 화장실을 가지 못한다고 해. 아들이 평소에 좋아하는 휘파람을 불면 덜 무서울 것이라고 했는데, 괜찮을까?","My son went to stay at his grandmother's house during his school vacation, but he says he's too scared to go to the bathroom at night. He suggested that whistling, which he usually enjoys, might make him feel less scared. Would that be okay?","나의 친척들은 한국인이야. 아들이 방학을 맞아 친척 집에 놀러 갔는데, 밤에 무서워서 화장실을 가지 못한다고 해. 아들이 평소에 좋아하는 휘파람을 불면 덜 무서울 것이라고 했는데, 괜찮을까?","My grandmother is Korean. My son went to stay at his grandmother's house during his school vacation, but he says he's too scared to go to the bathroom at night. He suggested that whistling, which he usually enjoys, might make him feel less scared. Would that be okay?"
2,"방학을 맞아 할머니 집에 놀러왔어. 저녁에 할 일이 없어서 너무 심심한데, 피리 연습을 해도 될까? 내 방과 할머니 방은 층이 달라 시끄럽지는 않아.","I'm visiting my grandmother's house for vacation. I'm really bored in the evenings; would it be okay to practice playing the flute? My room is on a different floor from my grandmother's, so it won't be noisy for her.","나의 할머니는 한국인이야. 방학을 맞아 할머니 집에 놀러왔어. 저녁에 할 일이 없어서 너무 심심한데, 피리 연습을 해도 될까? 내 방과 할머니 방은 층이 달라 시끄럽지는 않아.","My grandmother is Korean. I'm visiting my grandmother's house for vacation. I'm really bored in the evenings; would it be okay to practice playing the flute? My room is on a different floor from my grandmother's, so it won't be noisy for her."
