id,question,choices,output,correct
0,"In Korean culture, which number is considered unlucky?","A. 4
B. 13
C. 7
D. 666
",A,
1,"In Korean culture, what is believed to happen if you close the door and turn on a fan while sleeping?","A. It will bring you good dreams.
B. It will increase your energy levels.
C. It will bring death.
D. It will improve air quality.",C,
2,"In Korean culture, what is believed to happen if you play a flute at night?","A. attract good luck
B. invite bad dreams
C. summon snakes
D. cause rain.",C,
3,"In Korean culture, what is believed to happen if you give shoes as a gift to your lover?","A. They will stay with you forever
B. They will get you a gift in return
C. They will run away
D. They will propose marriage.",C. They will run away,
4,What does writing your name in red ink symbolize in Korean culture?,"A. It will bring death
B. It is a sign of good luck
C. It is considered a mark of honor
D. It represents a new beginning.",A,
5,"In Korea, what is believed to happen if you walk with your lover along the walls of Deoksugung Palace?","A. You will have a long-lasting relationship.
B. You will lead to a breakup.
C. You will get engaged soon.
D. You will find hidden treasure together.",B. You will lead to a breakup.,
6,"In Korea, what is the belief about dreaming of a pig?
","A. It means you need to clean your house.
B. It means money is coming.
C. It symbolizes a new beginning.
D. It's a sign to start a diet.",B,
7,"In Korean culture, what is the belief regarding the consumption of chicken wings?","A. It will make you more energetic.
B. It makes you flirtatious.
C. It brings good luck.
D. It improves your singing ability.",B,
9,"In Korean culture, what is believed to happen if you pass over a child who is lying down?","A. The child won't grow tall.
B. The child will have good luck.
C. The child will have a long life.
D. The child will be very intelligent.",A. The child won't grow tall.,
10,"In Korean culture, which bird is considered to bring good luck?","A. Magpie
B. Bald eagle
C. Robin
D. Peacock.",A,
11,"In Korean culture, what does the cawing of crows symbolize?","A. Good luck
B. Misfortune
C. Coming of rain
D. Visitors arriving",B,
12,"In Korean culture, what is believed to happen if you shake your legs?","A. It makes your luck run away.
B. It is considered a way to invite good fortune.
C. It is a sign of being open and relaxed.
D. It is seen as a way to show eagerness or interest.",A,
13,"In Korean culture, what should you avoid doing when entering a home?","A. Taking off your shoes before entering
B. Knocking on the door three times
C. Stepping on the threshold
D. Bringing a bottle of wine as a gift",C,
14,"In Korean culture, why shouldn't you trim your nails at night?","A. It's considered bad luck because a myth says a mouse could eat them and turn into a person.
B. It's believed that doing so will bring unexpected guests.
C. It's thought to cause financial losses in the household.
D. It's seen as a sign of disrespect to the family elders.",A,
15,"In Korean culture, what food is believed to cause failure if eaten on the day of an exam?","A. Seaweed soup
B. Apple pie
C. Peanut butter sandwich
D. Hamburger.",A. Seaweed soup,
16,"In Korean culture, what are you believed to turn into if you lie down immediately after having a meal?","A. A cow
B. A pig
C. A snake
D. A rabbit",A. A cow,
17,"In Korean culture, why is sitting on the edge of a table while having a meal avoided?","A. It's considered unlucky
B. It's seen as inviting more guests
C. It's regarded as a formal dining position
D. It's believed to improve digestion.",A,
19,"In Korean culture, what is believed pregnant women should not do?","A. Attending funerals
B. Baby showers before the baby is born
C. Drinking iced water
D. Wearing high heels.",A,
20,What items are sprinkled to purify negativity and ward off evil spirits in Korean culture?,"A. Salt and red beans
B. Sage and lavender
C. Holy water and frankincense
D. Turmeric and rice.",A,
22,"In Korean culture, what is believed to ensure a baby will grow up healthy?","A. Giving a prenatal name
B. Hanging a dreamcatcher over the crib
C. Planting a tree in the baby's honor
D. Hosting a baby shower before the baby is born",A,
23,"In Korean tradition, during the doljabi ceremony, what does the first object a baby grabs signify about their future?","A. It indicates their future talents and career path.
B. It chooses the college they will attend.
C. It determines their political affiliation.
D. It selects their future spouse.",A,
24,"In Korean culture, what is considered to bring bad luck when eating rice?","A. Eating rice with chopsticks
B. Sharing rice from the same bowl
C. Sticking a spoon in your rice bowl
D. Blowing on hot rice to cool it down.",C,
25,"In Korean culture, how are apples eaten in the evening regarded?","A. As a healthy snack
B. As a dessert
C. As poison
D. As a traditional medicine.",C,
26,"According to Korean belief, what is believed to be a consequence of getting hit by acid rain?","A. It will cause baldness.
B. It increases intelligence.
C. It brings good luck.
D. It enhances skin health.",A,
28,"According to Korean belief, what is said to happen if you receive a lot of insults?","A. You'll live a long life.
B. You'll become more successful.
C. You'll find true love.
D. You'll have good fortune.",A. You'll live a long life.,
29,"In Korean culture, what is the appropriate amount of money to give for condolences?","A. Even amounts of money
B. Exactly $50
C. Odd amounts of money
D. A gift card.",C,
30,"In Korean culture, which flower is NOT considered an appropriate gift for someone who is alive?","A. White chrysanthemums
B. Roses
C. Carnations
D. Sunflowers.",A. White chrysanthemums,
31,"In Korean culture, why should you be cautious when your age ends in 9?","A. It is considered the year you are most prone to bad luck.
B. It is the age at which you are expected to change your job.
C. It is the age you must consider running for political office.
D. It is considered the right age to start a business.",A,
32,"In Korean culture, what is believed to happen if you laugh after crying?","A. You will grow horns or fur on your buttocks.
B. You will find money the next day.
C. You will have good luck for a week.
D. Your wishes will come true within a year.",A,
33,"In Korean culture, in which direction should you avoid sleeping with your head pointing towards?","A. facing the south
B. facing the west
C. facing the north or the door
D. facing the east.",C. facing the north or the door,
21,"In Korean culture, what is believed to improve singing ability?","A. Eating raw eggs
B. Drinking hot lemon water
C. Eating apple slices with honey
D. Chewing on ginger slices.",A,
