model_name,language,file,num_questions,num_correct,accuracy
gemini1.5pro,kor,gemini1.5pro_mcq_kor.csv,31,28,90.32%
kullm3,kor,kullm3_mcq_kor.csv,31,19,61.29%
qwen2.5-7b-instruct,kor,qwen2.5-7b-instruct_mcq_kor.csv,31,18,58.06%
llama3-8b-instruct,kor,llama3-8b-instruct_mcq_kor.csv,31,11,35.48%
claude3sonnet,kor,claude3sonnet_mcq_kor.csv,31,9,29.03%
mistral-7b-instruct-v2,kor,mistral-7b-instruct-v2_mcq_kor.csv,31,14,45.16%
gpt4turbo-0409,kor,gpt4turbo-0409_mcq_kor.csv,31,30,96.77%
gemini-2.5-pro-preview-05-06,kor,gemini-2.5-pro-preview-05-06_mcq_kor.csv,31,31,100.00%
hyperclovaX-HCX-003,kor,hyperclovaX-HCX-003_mcq_kor.csv,31,27,87.10%
gpt-4.5-preview-2025-02-27,kor,gpt-4.5-preview-2025-02-27_mcq_kor.csv,31,29,93.55%
llama3.1-8b-instruct,kor,llama3.1-8b-instruct_mcq_kor.csv,31,13,41.94%
exaone3-7.8B,kor,exaone3-7.8B_mcq_kor.csv,31,19,61.29%
gpt-4o-2024-05-13,kor,gpt-4o-2024-05-13_mcq_kor.csv,31,29,93.55%
claude3opus,kor,claude3opus_mcq_kor.csv,31,27,87.10%
mistral-large-2402,kor,mistral-large-2402_mcq_kor.csv,31,22,70.97%
gpt3.5turbo,kor,gpt3.5turbo_mcq_kor.csv,31,19,61.29%
claude-opus-4-20250514,kor,claude-opus-4-20250514_mcq_kor.csv,31,31,100.00%
deepseek-chat,kor,deepseek-chat_mcq_kor.csv,31,27,87.10%
